A	B	C	D	E	F	G
-7.5	33	2.2	2000	-21	0	381
-8.1	36	1.6	2000	-20.5	0.01	812
-7.6	31	1.3	1974	-21.8	0.21	462
-5.5	26	2.8	1967	-22	0.64	269
-3.9	25	0	1959	-21	0	334
-2.3	25	0	1962	-19.7	0	321
-1.6	27	0	1955	-18.2	0	325
-1.1	28	0	2000	-17.3	0	334
-0.7	28	0	2000	-16.9	0	353
-0.5	30	0	2000	-16	0	435
-1.6	35	0	2000	-15.1	0	529
-2.6	40	0	2000	-14.4	0	789
-3.2	45	0	2000	-13.5	0	597
-3.5	46	0	2000	-13.4	0	418
-3.7	47	0	2000	-13.3	0	415
-2.8	49	0	2000	-12	0	393
-2.5	59	0	1210	-9.4	0	244
-2.8	77	0	331	-6.2	0	145
-3	79	0	293	-6.1	0	144
-3	79	0	1862	-6.1	0	117
-3.2	78	0	1808	-6.4	0	78
-3.4	75	0	1982	-7.2	0	58
-3.6	76	0	1934	-7.2	0	87
-3.7	76	0	1864	-7.3	0	142
-4.2	77	0	1741	-7.6	0	379
-4.2	78	0	1518	-7.4	0.01	802
-3.3	70	0	1324	-7.9	0.25	440
-0.9	64	0	1224	-6.8	0.63	307
1.6	57	1.2	1261	-6	0.93	381
2.4	52	0.9	1224	-6.4	1.08	405
4.2	47	1.1	1469	-6.1	1.1	442
5.5	34	1	1966	-9.1	0.96	416
5.5	31	3.1	1968	-10.3	0.72	412
5.3	37	2.9	2000	-8.2	0.36	496
4.1	60	2.5	1565	-2.9	0.1	239
1.7	90	1	66	0.2	0	204
1.2	92	0.7	180	0	0	205
1.2	94	0.6	228	0.3	0	190
1.1	92	0.5	235	0	0	165
1.3	92	0.6	233	0.1	0	222
1.3	92	0.6	209	0.1	0	193
1.4	92	0.5	240	0.2	0	198
1.5	92	0.4	227	0.3	0	218
1.4	92	0.7	168	0.2	0	149
1.9	91	1.4	218	0.5	0	102
1.6	92	0.7	119	0.4	0	62
1.5	92	1.1	175	0.3	0	83
1	93	0.5	148	0	0	137
0.3	93	0.5	173	-0.7	0	367
-0.2	96	0.8	173	-0.7	0.01	754
0.1	91	0.8	265	-1.1	0.14	415
1.1	83	0.7	311	-1.4	0.41	321
2.3	69	1.7	628	-2.8	0.63	333
3.7	65	2.4	833	-2.2	0.98	431
4.1	37	3.1	1767	-9.3	1.14	394
4.4	36	2.7	1975	-9.4	1.04	390
4	35	3.1	1962	-10.1	0.84	430
3.2	38	2.9	1817	-9.7	0.51	471
2.1	50	2	1434	-7.2	0.15	552
0.7	46	2.7	1558	-9.6	0	795
-0.4	47	2.5	1269	-10.3	0	507
-1.4	47	2.5	1620	-11.2	0	390
-2.2	46	2.2	1975	-12.2	0	402
-2.7	48	2.6	1844	-12.2	0	389
-3.2	50	2.1	1887	-12.1	0	259
-3.5	49	2.6	1893	-12.6	0	233
-3.7	50	2.5	1902	-12.6	0	230
-4.3	53	1	1918	-12.4	0	131
-4.8	52	1.6	1978	-13.1	0	99
-5.3	53	2.4	1936	-13.4	0	71
-5.8	56	2	1941	-13.1	0	84
-6	56	3.5	1853	-13.3	0	158
-6.5	57	0.8	1776	-13.6	0	387
-7	59	0.8	1559	-13.6	0.01	780
-6.7	50	0.9	1492	-15.4	0.23	395
-5.3	44	2.8	1516	-15.6	0.63	261
-3.7	39	1.4	1595	-15.6	0.93	310
-2	30	1.4	1728	-17.3	1.14	355
-1.7	28	1.8	1963	-17.8	1.22	354
-1.3	27	3.1	1906	-17.9	1.12	350
-0.8	26	3.3	1977	-17.9	0.87	362
-1.1	24	3.4	2000	-19.1	0.56	401
-2.4	30	2.7	2000	-17.6	0.18	500
-3.1	33	1.2	2000	-17.1	0	752
-3.3	35	1.1	2000	-16.6	0	477
-3.3	34	1.5	2000	-16.9	0	384
-3.3	35	0.5	2000	-16.6	0	336
-3.4	39	1.2	2000	-15.4	0	347
-3.5	43	0.9	2000	-14.3	0	275
-3.5	48	0.9	1967	-12.9	0	267
-4.1	49	0.6	2000	-13.2	0	296
-4.7	50	0.7	1983	-13.5	0	237
-4.3	47	0.6	1992	-13.9	0	169
-4.3	49	0.7	2000	-13.4	0	96
-4.7	49	0.8	1999	-13.8	0	56
-5.1	53	0.9	1975	-13.2	0	76
-5.5	56	0.8	1950	-12.9	0	127
-5.4	56	0.7	1940	-12.8	0.01	222
-4.7	48	1	1784	-14	0.23	291
-2.2	42	1.3	1646	-13.4	0.61	273
0	45	1.1	1500	-10.5	0.89	351
2.4	40	0.8	1809	-9.8	1.05	427
3.9	36	2	1702	-9.8	1.13	431
4.7	32	2.2	1948	-10.6	1.06	486
5.2	30	2	1963	-11	0.84	569
4.4	33	1.6	1963	-10.5	0.4	546
3.5	37	1.8	1963	-9.8	0.1	481
2.5	41	1	1974	-9.4	0	384
1.5	48	0.4	1878	-8.3	0	275
0.8	51	1.4	1848	-8.2	0	298
-0.1	55	0.7	1654	-8	0	321
-0.5	55	0.6	1655	-8.4	0	289
-0.1	54	1.3	1570	-8.3	0	265
-0.2	55	1	1629	-8.1	0	326
-0.2	54	0.5	1747	-8.4	0	280
0.2	52	0.7	1726	-8.5	0	243
0.3	53	0.5	1748	-8.1	0	169
0.4	52	1.6	1816	-8.3	0	71
0.3	74	1	178	-3.7	0	13
-0.5	90	0.9	91	-1.9	0	9
-0.4	92	1.1	121	-1.5	0	20
-0.2	90	1.2	378	-1.6	0	35
0.2	90	1	305	-1.2	0	31
0.5	91	0.4	143	-0.8	0	19
0.9	92	0.9	137	-0.2	0.03	58
2.3	88	0.3	245	0.5	0.28	119
3.3	87	1.1	230	1.3	0.54	182
4.2	85	0.7	325	1.8	0.65	235
6.7	63	4.5	715	0.1	0.35	180
5.4	71	3.5	622	0.5	0.2	214
3.6	65	4.3	1061	-2.3	0.03	226
2	61	3	2000	-4.7	0	210
1.6	53	4	2000	-6.9	0	181
0.6	57	3.9	1954	-6.9	0	165
0	59	3	1862	-7	0	167
-1	56	4.7	2000	-8.6	0	152
-1.4	43	4.3	2000	-12.3	0	148
-2.5	39	3.4	2000	-14.5	0	125
-3.4	36	3.8	2000	-16.3	0	111
-4.2	35	3.4	2000	-17.4	0	67
-4.7	38	2.4	2000	-16.8	0	45
-5.2	35	3.2	2000	-18.3	0	44
-5.6	38	3.2	1974	-17.6	0	86
-5.9	39	2.9	1979	-17.6	0	136
-6	39	3.1	1996	-17.7	0	325
-6	38	3.6	1994	-18	0.01	653
-5.9	36	5.1	1941	-18.6	0.1	326
-5.3	32	4.5	2000	-19.4	0.62	212
-4.7	36	3.8	2000	-17.5	1	226
-5.2	33	4.6	1973	-19	1.26	247
-5.4	32	5.1	1986	-19.5	1.24	241
-5.4	31	4.1	1945	-19.9	1.13	253
-5.5	33	4.5	2000	-19.2	0.92	269
-6	40	4	2000	-17.4	0.55	277
-7.1	44	4.2	2000	-17.3	0.18	361
-7.9	43	3.3	2000	-18.3	0	557
-8.6	45	3.9	2000	-18.4	0	371
-9.3	49	3.8	2000	-18	0	254
-9.7	51	2.5	2000	-17.9	0	266
-10.2	50	3	2000	-18.6	0	222
-10.7	53	1.2	2000	-18.4	0	174
-11	51	1.1	2000	-19.1	0	133
-11.2	51	1.1	2000	-19.3	0	127
-11.5	50	0.7	2000	-19.8	0	95
-11.6	50	2.2	1995	-19.9	0	54
-11.6	47	2.1	1982	-20.6	0	46
-11.6	45	2.8	1951	-21.1	0	65
-11.8	47	2.5	1973	-20.8	0	104
-12.1	50	2.3	1929	-20.4	0	280
-12.3	52	1.3	1914	-20.1	0	580
-11.8	46	2.9	1956	-21.1	0.1	275
-10.5	45	3.3	1855	-20.1	0.6	184
-9.4	42	3.1	1815	-19.9	0.93	201
-8.3	35	2.9	1967	-21	1.14	228
-6.9	37	2.4	1955	-19.1	1.22	225
-5.4	32	2	1930	-19.5	1.12	258
-5.8	30	2.8	2000	-20.6	0.92	250
-6	29	2.8	1983	-21.2	0.58	248
-7	32	2.6	2000	-20.9	0.19	305
-7.7	36	1	2000	-20.2	0	529
-8.2	43	1.1	2000	-18.5	0	350
-8.4	42	1	2000	-19	0	260
-8.8	43	1.4	1999	-19.1	0	270
-9	45	1.3	1999	-18.7	0	256
-9.3	47	2.1	2000	-18.5	0	173
-9.5	48	1.3	1996	-18.4	0	168
-10.2	52	1.6	1997	-18.2	0	183
-10.4	53	1.8	1949	-18.1	0	120
-10.9	55	1.8	1913	-18.1	0	79
-11.4	58	1.3	1907	-18	0	41
-11.5	58	1.1	1923	-18.1	0	68
-11.9	57	1.1	1974	-18.7	0	109
-11.7	53	1.6	1998	-19.3	0	310
-11.4	47	3.3	2000	-20.4	0	591
-11.1	46	3.4	1981	-20.4	0.1	340
-9.5	39	2.1	1875	-20.9	0.6	202
-8.1	35	1.8	1806	-20.9	0.96	251
-6.5	30	2.9	1945	-21.2	1.17	267
-5.8	28	2.9	1887	-21.4	1.23	251
-4.7	27	2.9	1883	-20.8	1.12	240
-4.9	26	3.1	1887	-21.5	0.89	240
-4.5	26	2.2	2000	-21.1	0.56	278
-5.6	29	1.7	2000	-20.8	0.18	392
-6.6	33	1.1	2000	-20.2	0	537
-6.6	31	1.6	2000	-20.9	0	373
-7.6	35	0.8	2000	-20.4	0	263
-8.3	39	1	2000	-19.8	0	271
-8.9	39	0.1	2000	-20.3	0	271
-9.2	44	0.4	1978	-19.2	0	174
-9.5	50	0.6	1953	-18	0	171
-9.8	48	0.8	2000	-18.7	0	170
-10.6	44	0.8	1903	-20.5	0	107
-10.7	48	0.4	1651	-19.6	0	80
-11	50	0.8	1718	-19.4	0	52
-10.8	48	0.8	1648	-19.6	0	62
-11	55	0.8	1541	-18.2	0	108
-10.9	57	1.1	1387	-17.7	0	279
-10.4	54	1.1	1432	-17.9	0.01	621
-9.4	44	0.5	1680	-19.4	0.13	305
-7.7	43	0.9	1555	-18.1	0.35	189
-6.1	38	1	1587	-18.1	0.52	247
-4.9	34	1.3	1768	-18.3	0.6	278
-3.8	32	0.9	1827	-18.1	0.52	282
-2.7	28	0.7	1857	-18.7	0.65	294
-2.5	29	1.1	1667	-18.1	0.48	301
-2.4	28	0.9	1878	-18.4	0.35	335
-2.9	31	0.6	1723	-17.7	0.09	382
-3.5	35	1.1	1414	-16.7	0	612
-4.2	40	0.9	1216	-15.8	0	410
-4.8	43	1.1	1397	-15.4	0	277
-4.8	45	0.8	1351	-14.9	0	316
-4.9	44	1.1	1369	-15.3	0	309
-5.6	53	1.2	1290	-13.6	0	211
-5.7	53	0.6	1262	-13.7	0	227
-6.3	57	0.4	1148	-13.4	0	241
-6.8	58	0.4	1089	-13.6	0	162
-6.9	56	0.5	1111	-14.2	0	110
-7.1	59	0.8	1058	-13.7	0	69
-7.5	64	0.9	989	-13.1	0	68
-7.4	64	0.7	906	-13	0	129
-7	63	0.6	865	-12.8	0	285
-6.6	64	1.1	791	-12.2	0	658
-5.9	60	0.6	691	-12.4	0.09	330
-4.6	52	0.8	648	-12.9	0.34	221
-2.9	46	1	809	-12.9	0.42	279
-2.5	43	0.7	895	-13.3	0.34	309
-1.6	40	0.3	868	-13.4	0.32	325
-0.7	39	0.8	826	-12.9	0.35	329
0.1	35	1.5	946	-13.5	0.42	342
0	37	0.6	994	-12.9	0.13	354
-0.2	39	0.8	1016	-12.5	0	464
0.1	43	0.9	1485	-11	0	682
0.6	41	1.2	1550	-11.1	0	451
0.9	42	1.2	1113	-10.5	0	320
0.7	47	2.7	1283	-9.3	0	300
-0.1	49	2	870	-9.5	0	296
-1.3	60	2.5	792	-8	0	247
-2.6	73	3.4	787	-6.7	0	217
-3.4	76	2.9	582	-7	0	302
-4.1	73	2.1	567	-8.2	0	228
-4.5	71	1.6	651	-8.9	0	129
-5	70	2.7	702	-9.6	0	80
-5.6	72	2	662	-9.8	0	45
-6.1	69	2.9	765	-10.8	0	66
-6.7	64	2.1	977	-12.3	0	90
-7.3	62	2.6	1112	-13.3	0	190
-7.2	47	2.8	1724	-16.6	0.18	195
-6.2	42	2.3	1893	-17	0.52	201
-5.2	30	4	1991	-20.1	0.86	239
-4.1	28	3.8	1998	-19.9	1.08	252
-3.7	23	4	1980	-21.8	1.12	296
-3.4	22	4.3	1966	-22.1	1.07	292
-3.3	22	5	2000	-22	0.86	291
-3.3	24	3.5	2000	-21	0.54	258
-4.6	26	2.6	2000	-21.2	0.17	277
-5.3	28	3.5	2000	-21	0	212
-6	32	2.4	2000	-20	0	173
-6.6	37	3.4	2000	-18.9	0	143
-7.1	39	3.2	2000	-18.7	0	159
-7.6	41	1.6	2000	-18.6	0	155
-8	41	2.2	2000	-18.9	0	142
-8.1	41	2	2000	-19	0	175
-8.4	40	1.6	2000	-19.6	0	146
-8.7	40	2.8	2000	-19.8	0	132
-9	40	3.1	2000	-20.1	0	100
-9.5	40	1.9	2000	-20.6	0	41
-9.7	41	3.1	2000	-20.5	0	31
-9.9	42	2.3	2000	-20.4	0	39
-10.2	42	2.3	2000	-20.6	0	53
-10.7	43	0.9	2000	-20.8	0	94
-10.5	38	1.1	1950	-22.1	0.19	122
-8.5	31	1.5	1997	-22.6	0.58	142
-7.2	29	1.8	1926	-22.2	0.88	189
-4.9	25	2.6	1966	-21.9	1.08	216
-4.5	25	3.2	1989	-21.6	1.14	223
-3.2	26	3.1	1933	-20	1.07	268
-2.5	28	2	2000	-18.5	0.85	278
-2.7	31	2.3	2000	-17.5	0.54	256
-3.8	35	2.4	2000	-17	0.17	266
-4.7	37	1.8	2000	-17.2	0.01	204
-5.6	39	1.1	2000	-17.3	0	157
-6	42	0.8	2000	-16.8	0	166
-6.5	45	0.7	2000	-16.4	0	168
-6.6	50	0.6	1990	-15.3	0	172
-6.9	53	0.7	2000	-14.8	0	138
-5.9	50	0.6	2000	-14.6	0	151
-5.3	48	0.4	1664	-14.6	0	97
-5	65	0.4	990	-10.5	0	38
-5.3	76	1	767	-8.8	0	32
-5.4	81	0.7	270	-8.1	0	29
-5.3	81	0.9	923	-8	0	27
-5.2	85	0.9	271	-7.3	0	45
-5	85	0.7	186	-7.1	0	96
-4.6	86	1.2	508	-6.5	0	146
-4.3	89	1	59	-5.8	0	52
-3.7	87	1	541	-5.5	0.03	36
-2.9	85	1.2	243	-5	0.06	44
-1.8	83	1.2	351	-4.3	0.09	62
-0.9	84	1.2	333	-3.2	0.09	76
0.5	76	0.9	364	-3.2	0.17	116
1.6	73	0.9	421	-2.7	0.6	137
1.8	76	0.8	410	-1.9	0.47	181
0.4	84	0.8	317	-1.9	0.15	175
0	88	0.6	277	-1.7	0	281
1.3	65	1.1	1122	-4.5	0	198
3.3	65	3.2	1172	-2.6	0	165
2.8	73	2.4	831	-1.5	0	148
1.5	82	2.4	537	-1.2	0	160
0.1	81	2.9	551	-2.7	0	128
-1	73	2.3	881	-5.2	0	122
-2	72	0.8	979	-6.3	0	122
-2.7	72	0.9	990	-7	0	93
-2.8	58	1.6	1315	-9.9	0	55
-2.9	59	1.8	1286	-9.8	0	39
-3.9	66	0.7	1209	-9.3	0	55
-4.3	70	1.6	1169	-8.9	0	78
-4.4	64	2.8	1367	-10.1	0	165
-5.2	58	2.2	1594	-12.1	0	390
-5.3	48	2.6	1810	-14.6	0.18	199
-4.6	41	2.8	1815	-15.8	0.57	151
-3.5	35	2.2	1742	-16.7	0.87	174
-2.5	31	2.6	1778	-17.3	1.08	191
-2.2	25	3.2	1970	-19.6	1.17	189
-2.2	23	3.7	1971	-20.5	1.09	178
-1.3	26	3	2000	-18.3	0.91	195
-1.8	31	3.1	1993	-16.7	0.56	211
-2.7	35	1.8	2000	-16	0.18	256
-3.8	42	3.3	2000	-14.8	0	384
-4.5	51	2	2000	-13.1	0	276
-4.9	55	2	2000	-12.5	0	225
-5	57	1.9	2000	-12.2	0	224
-5.5	56	1.5	2000	-12.9	0	213
-5.8	57	1.7	2000	-12.9	0	149
-6.5	63	1.5	1666	-12.3	0	142
-7.3	67	1.1	1593	-12.3	0	172
-7.8	68	0.9	1642	-12.6	0	108
-8.1	70	1.3	1557	-12.6	0	71
-8.5	73	1	1723	-12.4	0	38
-8.3	67	0.9	1566	-13.3	0	56
-8.2	66	0.9	1718	-13.4	0	97
-8.1	67	0.9	1737	-13.1	0	213
-7.8	65	1.1	1738	-13.2	0	466
-6.7	62	1.1	1749	-12.7	0.09	239
-5.4	56	1.1	1751	-12.8	0.28	162
-4.2	51	1.1	1772	-12.8	0.4	204
-3.2	49	1.3	1723	-12.4	0.53	209
-1.3	43	1	1777	-12.3	0.8	228
-0.5	44	1	1793	-11.2	0.71	243
-0.2	45	1	1852	-10.7	0.41	240
-0.5	48	1.1	1722	-10.1	0.12	225
-0.9	70	1.1	299	-5.6	0.02	237
-1.4	79	1.6	702	-4.5	0	329
-1.5	81	1.8	751	-4.3	0	190
-1.9	86	0.9	700	-3.9	0	165
-2	83	1.2	904	-4.5	0	197
-1.6	82	0.4	929	-4.2	0	184
-1.1	87	1.4	349	-2.9	0	153
-1.3	90	2	259	-2.7	0	166
-1.8	90	1.6	263	-3.2	0	189
-2.2	88	1.4	348	-3.9	0	132
-2.9	89	1.3	288	-4.4	0	79
-3.6	91	1.2	241	-4.8	0	58
-4.3	91	1.5	233	-5.5	0	49
-4.8	91	1.1	266	-6	0	84
-5.3	90	1.1	311	-6.6	0	178
-5.6	89	0.9	371	-7.1	0	423
-5.3	88	0.4	463	-6.9	0.21	265
-3	71	0.7	608	-7.5	0.67	169
-0.7	62	0.7	519	-7	0.77	243
1.9	40	2	1835	-10.3	1.04	290
3.2	42	1.8	1349	-8.5	1.08	285
4.3	47	2.3	953	-6	0.96	255
4.4	46	1.4	1113	-6.2	0.78	316
4.1	51	1.8	1112	-5.1	0.48	301
2.9	60	1.3	1193	-4.1	0.16	366
1.7	64	1.3	1140	-4.3	0	531
0.8	71	0.9	923	-3.8	0	355
0.2	72	0.7	990	-4.2	0	288
-0.4	74	0.6	1065	-4.4	0	248
-1.1	78	0.6	865	-4.4	0	252
-1.5	79	0.6	821	-4.6	0	212
-1.7	79	0.5	794	-4.8	0	196
-1.6	79	0.6	784	-4.7	0	250
-1.1	79	0.7	736	-4.2	0	161
-0.6	76	0.5	789	-4.3	0	99
-0.3	76	0.9	760	-4	0	64
-0.2	73	0.8	880	-4.4	0	76
-0.1	71	0.8	895	-4.7	0	114
-0.3	72	0.7	919	-4.7	0	283
-0.4	69	0.5	904	-5.4	0	544
0.3	67	0.7	897	-5.1	0.03	298
1.4	64	1	897	-4.6	0.25	248
3.1	57	0.8	804	-4.6	0.63	278
4.5	56	0.8	836	-3.5	0.71	301
5.4	55	1.2	820	-2.9	0.66	320
5.9	55	0.6	779	-2.4	0.48	326
6.5	55	0.9	801	-1.9	0.38	386
6	58	0.7	732	-1.6	0.19	416
5.4	61	1.3	691	-1.5	0.08	477
4.9	63	0.6	677	-1.5	0	671
5.2	64	0.7	691	-1	0	481
5.9	67	1.3	779	0.2	0	323
6.1	70	2.2	763	1	0	309
6.1	70	2.7	806	1	0	314
5.8	74	2.5	832	1.5	0	249
5.8	75	1.9	788	1.7	0	282
5.7	75	1.7	706	1.6	0	337
5.6	76	1.6	641	1.6	0	312
5.4	77	1.6	583	1.6	0	230
5.3	79	0.9	506	1.9	0	120
5	81	1.2	425	2	0	59
5.1	81	1.3	375	2.1	0	63
5.1	82	0.7	334	2.2	0	99
5.1	83	0.9	297	2.4	0	188
5.2	84	0.7	226	2.7	0.03	239
5.4	82	1.2	215	2.5	0.13	235
5.7	81	1.1	192	2.6	0.18	282
7	72	1.9	246	2.2	0.64	325
7.7	68	1	249	2.1	0.58	423
8.6	63	1.6	263	1.9	0.72	405
8.6	64	1.5	269	2.1	0.57	443
8.2	64	1	281	1.7	0.32	473
7.7	67	0.9	264	1.9	0.11	453
6.6	73	0.4	229	2	0	340
6	76	1.1	219	2	0	260
5.9	75	1.5	222	1.7	0	258
5.6	77	0.9	212	1.8	0	279
5.3	79	0.6	200	1.9	0	282
5.5	80	0.6	185	2.3	0	237
5.6	78	0.6	196	2	0	266
5.6	78	0.5	197	2	0	251
5.4	80	0.9	190	2.2	0	196
5.2	82	0.8	190	2.3	0	149
5.2	82	0.7	189	2.3	0	79
5.1	82	0.6	185	2.2	0	44
4.9	84	1.3	159	2.4	0	12
4.7	89	1.1	100	3	0	3
4.6	91	1.7	95	3.2	0	4
4.6	94	0.9	90	3.7	0	3
4.8	96	0.6	87	4.2	0.04	4
4.6	95	0.8	156	3.8	0.05	9
4.1	91	0.8	404	2.7	0.07	4
3.7	90	0.7	744	2.2	0.15	7
3.3	90	2.5	561	1.8	0.19	28
2.9	90	2	380	1.4	0.08	38
2.3	91	3.3	270	0.9	0.07	54
2.2	86	2.6	605	0	0.04	104
1.9	82	4.3	699	-0.8	0.01	128
1.1	68	4.4	695	-4.1	0	132
0.6	67	3.3	506	-4.8	0	116
0.4	69	3.5	477	-4.6	0	145
0.2	69	2.7	565	-4.8	0	110
0	63	3.2	884	-6.2	0	128
-0.6	64	2.4	1010	-6.5	0	160
-1.2	57	4.3	1429	-8.6	0	132
-1.8	53	4.1	1825	-10.1	0	115
-2.3	52	3.4	1947	-10.8	0	100
-3	51	3.2	2000	-11.7	0	72
-3.7	51	2.6	2000	-12.3	0	32
-4.1	50	3	2000	-13	0	59
-4.6	46	2.8	2000	-14.4	0	61
-4.9	44	3	2000	-15.3	0	94
-4.6	40	3.5	2000	-16.1	0.18	107
-3.7	35	3.7	1937	-16.9	0.57	133
-2.8	35	2.9	1984	-16.1	0.87	179
-1.6	33	2.5	1874	-15.8	1.18	221
-1.5	33	3.8	2000	-15.7	1.18	244
-0.4	31	2	2000	-15.5	1.1	274
0.4	28	2.5	2000	-16	0.9	319
0.4	27	2	2000	-16.4	0.58	272
-0.7	29	2	2000	-16.5	0.21	260
-1.6	33	2	2000	-15.8	0	237
-1.8	41	2.1	2000	-13.3	0	184
-2.1	49	1.7	2000	-11.4	0	181
-1.7	51	1.7	2000	-10.5	0	185
-1.3	53	1.7	2000	-9.6	0	176
-1	55	1.9	2000	-8.9	0	169
-1.4	58	1	1880	-8.6	0	178
-1.5	62	1.3	2000	-7.8	0	127
-2.1	69	1	1995	-7	0	85
-2.6	70	1	1992	-7.3	0	72
-2.6	72	1.4	1929	-6.9	0	49
-2.9	77	0.8	1833	-6.3	0	65
-2.8	73	0.7	1906	-6.9	0	120
-2.9	73	1.9	1911	-7	0	296
-2.7	68	2.2	1919	-7.7	0	578
-2.8	52	2.9	1895	-11.3	0.16	293
-2.2	36	4.1	1930	-15.2	0.53	180
-2.1	28	4.9	1887	-18.2	0.87	250
-1.3	23	4	2000	-19.8	1.09	262
-2	15	4.7	1970	-25.2	1.18	262
-1.6	20	4.3	2000	-21.6	1.11	271
-1.9	17	5	2000	-23.7	0.93	246
-1.9	17	3.3	2000	-23.7	0.61	282
-3.6	20	3.7	2000	-23.3	0.23	350
-4.7	23	3.4	2000	-22.7	0.01	481
-5.4	27	3	2000	-21.5	0	317
-6.1	32	4.7	2000	-20.1	0	252
-6.6	39	3.2	2000	-18.2	0	220
-7.2	38	3.1	2000	-19.1	0	213
-7.5	37	3.1	2000	-19.7	0	156
-7.9	37	2.2	2000	-20	0	133
-8.2	39	1.8	2000	-19.7	0	142
-8.6	37	1.5	2000	-20.7	0	93
